City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
0,bafq,0,IR,1603766284,37,31.61,55.41,52.54,1.07
1,vaitupu,,,,,,,,
2,lebu,100,CL,1603766284,87,-37.62,-73.65,51.15,8.75
3,carnarvon,0,AU,1603766283,57,-24.87,113.63,77,25.28
4,yellowknife,90,CA,1603765936,79,62.46,-114.35,21.2,12.75
5,lompoc,1,US,1603766106,63,34.64,-120.46,60.8,4.7
6,punta arenas,20,CL,1603765836,70,-53.15,-70.92,42.8,14.99
7,hobyo,79,SO,1603766285,80,5.35,48.53,78.64,4.52
8,bethel,90,US,1603765914,100,41.37,-73.41,54,1.52
9,mataura,71,NZ,1603765931,64,-46.19,168.86,57,8.99
10,kaitangata,13,NZ,1603766285,69,-46.28,169.85,53.01,15.01
11,butaritari,7,KI,1603766286,66,3.07,172.79,81.64,9.44
12,hobart,75,AU,1603765883,58,-42.88,147.33,60.01,11.41
13,luderitz,0,NA,1603766029,84,-26.65,15.16,57.54,15.12
14,hambantota,75,LK,1603766286,94,6.12,81.12,80.6,5.82
15,rikitea,100,PF,1603766286,86,-23.12,-134.97,75.56,14.74
16,esperance,0,AU,1603766287,47,-33.87,121.9,77,4.7
17,belushya guba,,,,,,,,
18,bud,90,US,1603766287,100,39.45,-86.18,44.01,3.87
19,baudh,0,IN,1603766287,64,20.84,84.32,76.15,2.44
20,jasper,90,US,1603766287,99,37.2,-94.35,32,8.05
21,alyangula,100,AU,1603766169,58,-13.85,136.42,87.8,5.82
22,taloda,0,IN,1603766288,40,21.57,74.22,80.56,1.72
23,fontenay-le-comte,0,FR,1603766288,100,46.58,-1,53.6,4.7
24,puerto ayora,54,EC,1603766205,92,-0.74,-90.35,68,3
25,taolanaro,,,,,,,,
26,ponta do sol,20,PT,1603766289,63,32.67,-17.1,66.2,10.29
27,bredasdorp,47,ZA,1603766289,88,-34.53,20.04,64.4,3.36
28,san patricio,20,US,1603766004,78,28.02,-97.52,78.8,11.41
29,cayenne,0,GF,1603766289,100,4.93,-52.33,78.8,1.12
30,ushuaia,20,AR,1603766085,39,-54.8,-68.3,48.2,14.99
31,makakilo city,75,US,1603766290,74,21.35,-158.09,82.4,11.41
32,pisco,0,PE,1603766068,82,-13.7,-76.22,63,12.75
33,saint-philippe,90,RE,1603766290,78,-21.36,55.77,71.6,4.7
34,kapaa,90,US,1603766290,88,22.08,-159.32,73.4,11.41
35,chuy,97,UY,1603766291,78,-33.7,-53.46,56.34,12.64
36,geraldton,0,AU,1603766291,47,-28.77,114.6,77,10.29
37,mys shmidta,,,,,,,,
38,puerto escondido,90,MX,1603766102,74,15.85,-97.07,78.8,4.7
39,amderma,,,,,,,,
40,acapulco,90,MX,1603766115,83,16.86,-99.89,84.2,10.29
41,hermanus,5,ZA,1603766292,84,-34.42,19.23,62.01,1.01
42,ola,83,RU,1603766292,75,59.58,151.28,36.05,10.49
43,castro,100,BR,1603766249,94,-24.79,-50.01,61.59,4.03
44,bluff,20,NZ,1603766292,64,-46.6,168.33,57,8.99
45,camacha,40,PT,1603766293,68,33.08,-16.33,66.2,7
46,mar del plata,0,AR,1603766127,81,-38,-57.56,55,3.36
47,busselton,76,AU,1603765876,59,-33.65,115.33,71.01,5.99
48,lazarev,92,RU,1603766293,71,52.23,141.51,40.75,8.79
49,bocas del toro,100,PA,1603766293,100,9.33,-82.25,66,4.41
50,khatanga,89,RU,1603766294,94,71.97,102.5,2.12,9.17
51,qaanaaq,98,GL,1603766294,78,77.48,-69.36,8.8,9.06
52,antofagasta,90,CL,1603766294,72,-23.65,-70.4,59,6.93
53,nizhneyansk,,,,,,,,
54,katsuura,75,JP,1603766295,59,35.13,140.3,66.99,10.29
55,new norfolk,75,AU,1603766295,51,-42.78,147.06,60.01,4
56,naze,20,JP,1603766295,57,28.37,129.48,78.8,9.17
57,moron,0,AR,1603766226,54,-34.65,-58.62,62.01,4.25
58,grand gaube,1,MU,1603766295,73,-20.01,57.66,75,5.01
59,barrow,90,US,1603766100,85,71.29,-156.79,19.4,11.41
60,san quintin,0,MX,1603766296,41,30.48,-115.95,63.32,6.35
61,severobaykalsk,0,RU,1603766296,84,55.65,109.32,23.54,0.65
62,souillac,40,MU,1603766296,78,-20.52,57.52,71.6,6.93
63,vaini,75,TO,1603766297,83,-21.2,-175.2,77,10.29
64,warqla,,,,,,,,
65,victoria,21,HK,1603766049,56,22.29,114.16,81,3
66,vila velha,0,BR,1603766297,83,-20.33,-40.29,72,2.24
67,buchanan,75,LR,1603766298,94,5.88,-10.05,78.8,3.4
68,georgetown,20,MY,1603766298,78,5.41,100.34,86,2.24
69,albany,100,US,1603766298,90,42.6,-73.97,51.01,1.81
70,provideniya,90,RU,1603766298,69,64.38,-173.3,33.8,4.47
71,monte patria,0,CL,1603766298,57,-30.69,-70.95,57.51,0.56
72,hami,100,CN,1603766299,42,42.8,93.45,49.46,4.65
73,anamur,0,TR,1603766299,76,36.08,32.84,57.2,4.7
74,beyneu,0,KZ,1603766299,85,45.32,55.2,35.04,6.4
75,kendal,61,GB,1603766299,93,54.33,-2.75,48,1.01
76,airai,58,TL,1603766300,53,-8.93,125.41,79.02,3.29
77,sorong,18,ID,1603766029,70,-0.88,131.25,83.46,4.03
78,jodar,100,ES,1603766300,76,37.84,-3.35,46.99,1.01
79,entre rios,64,BR,1603766300,92,-11.94,-38.08,72.97,6.87
80,faanui,100,PF,1603766300,76,-16.48,-151.75,80.58,18.25
81,nikolskoye,75,RU,1603766301,87,59.7,30.79,50,8.95
82,hamina,90,FI,1603766301,100,60.57,27.2,48.2,10.29
83,kodiak,1,US,1603766112,49,57.79,-152.41,48.2,23.04
84,loei,75,TH,1603766301,88,17.42,101.5,77,2.24
85,san agustin,40,MX,1603766302,49,20.53,-103.47,69.8,4.56
86,kaeo,35,NZ,1603766302,68,-35.1,173.78,69.78,8.99
87,itarema,2,BR,1603766302,85,-2.92,-39.92,77.31,10.94
88,tsihombe,,,,,,,,
89,deputatskiy,100,RU,1603766302,90,69.3,139.9,4.06,1.43
90,talcahuano,0,CL,1603766150,76,-36.72,-73.12,55.4,2.24
91,pacific grove,1,US,1603766303,38,36.62,-121.92,59,3.36
92,puerto parra,42,CO,1603766303,96,6.65,-74.06,74.32,0.67
93,dudinka,6,RU,1603766303,84,69.41,86.18,3.2,6.71
94,port alfred,68,ZA,1603766304,85,-33.59,26.89,67.35,24.61
95,rungata,,,,,,,,
96,tuktoyaktuk,20,CA,1603766304,78,69.45,-133.04,10.4,14.99
97,port elizabeth,90,ZA,1603766304,93,-33.92,25.57,64.4,16.11
98,san ramon,1,US,1603766305,9,37.78,-121.98,64.4,4.7
99,hilo,90,US,1603766305,88,19.73,-155.09,75.99,9.17
100,manadhoo,25,MV,1603766305,76,5.77,73.38,82.6,7
101,baruun-urt,0,MN,1603766122,68,46.68,113.28,33.03,10.51
102,klaksvik,58,FO,1603766305,65,62.23,-6.59,35.6,6.93
103,gyor,0,HU,1603766306,87,47.68,17.64,57.2,4.7
104,cap malheureux,4,MU,1603766173,73,-19.98,57.61,75,5.01
105,mahebourg,40,MU,1603766124,78,-20.41,57.7,71.6,6.93
106,khani,0,GE,1603766306,62,41.96,42.96,59,16.11
107,portland,1,US,1603765664,52,45.52,-122.68,46.99,1.43
108,minab,0,IR,1603766307,63,27.15,57.08,64.4,4.7
109,tongren,66,CN,1603766307,57,27.72,109.19,68.5,5.35
110,santarem,75,BR,1603766307,70,-2.44,-54.71,86,8.05
111,malazgirt,0,TR,1603766307,70,39.14,42.54,39.04,0.83
112,mrirt,,,,,,,,
113,taluksangay,75,PH,1603766308,79,6.95,122.18,86,6.93
114,honiara,75,SB,1603766189,74,-9.43,159.95,86,9.17
115,cabo san lucas,20,MX,1603766308,69,22.89,-109.91,82.4,11.41
116,atuona,49,PF,1603766308,76,-9.8,-139.03,78.78,22.35
117,roma,90,US,1603766009,93,43.21,-75.46,46.99,8.05
118,neiafu,40,TO,1603766309,69,-18.65,-173.98,80.6,11.41
119,chokurdakh,100,RU,1603766309,95,70.63,147.92,6.85,9.62
120,codrington,75,AU,1603766309,76,-38.27,141.97,60.08,15.08
121,verkhnyaya inta,100,RU,1603766310,91,65.98,60.31,15.76,3.87
122,severo-yeniseyskiy,95,RU,1603766310,96,60.37,93.04,17.44,6.93
123,illoqqortoormiut,,,,,,,,
124,cape town,0,ZA,1603766156,93,-33.93,18.42,61,5.82
125,sechura,62,PE,1603766310,81,-5.56,-80.82,66.15,11.72
126,nunoa,98,PE,1603766311,58,-14.48,-70.64,47.34,2.13
127,pershotravneve,10,UA,1603766311,79,51.39,28.87,45.1,8.25
128,arlit,0,NE,1603766311,20,18.74,7.39,72.75,5.48
129,saldanha,9,ZA,1603766311,87,-33.01,17.94,59,5.82
130,tasiilaq,100,GL,1603765938,50,65.61,-37.64,33.8,19.46
131,wagar,0,SD,1603766312,64,16.15,36.2,77.23,9.98
132,avarua,100,CK,1603766124,83,-21.21,-159.78,71.6,13.87
133,pangnirtung,2,CA,1603766312,82,66.15,-65.71,7.21,6.8
134,necochea,3,AR,1603766312,85,-38.55,-58.74,52,10
135,emba,0,KZ,1603766313,91,48.83,58.14,30.16,19.51
136,matay,0,EG,1603766313,91,28.42,30.78,66.61,8.93
137,mandera,96,KE,1603766313,72,3.94,41.87,78.31,13.78
138,vardo,11,NO,1603766313,79,70.37,31.11,39.99,19.93
139,cidreira,100,BR,1603766313,92,-30.18,-50.21,65.05,14.97
140,kavaratti,26,IN,1603766314,70,10.57,72.64,82,5.28
141,berlevag,2,NO,1603766314,78,70.86,29.09,37.99,14.54
142,college,90,US,1603766314,79,64.86,-147.8,26.6,5.82
143,azanka,100,RU,1603766314,96,58.04,64.79,27.9,18.34
144,campbeltown,95,GB,1603766314,87,55.43,-5.61,48.2,12.75
145,mamallapuram,40,IN,1603766315,94,12.63,80.17,80.6,3.36
146,kafanchan,41,NG,1603766315,61,9.58,8.3,67.64,3.13
147,thompson,5,CA,1603766119,57,55.74,-97.86,23,8.05
